Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2090,2.675,324.65272640251084,1.1308833678385253,0.7916206344274598,5.35,329.6335791912474,1.1473600175360608,0.8730775653569304,8.024999999999999,334.6144319799839,1.1636560983099886,0.9533128432296375,10.7,339.59528476872055,1.1797758987654365,1.0323625708250788
2091,2.675,323.9137518744606,1.1258942294364862,0.779429084082695,5.35,328.9490676074225,1.1428752521737355,0.8619562936076943,8.024999999999999,333.9843833403842,1.1596673463744214,0.9432297825290344,10.7,339.01969907334615,1.1762750619959856,1.0232870735784385
2092,2.675,323.1895568369714,1.1208578899788273,0.76745434986039,5.35,328.27824625527404,1.138346783207564,0.851034971853124,8.024999999999999,333.36693567357656,1.1556382127344917,0.933329911603793,10.7,338.4556250918792,1.1727369988739882,1.0143781247486878
2093,2.675,322.479845700232,1.1157765520153464,0.7556930488112434,5.35,327.62084133016856,1.13377664296579,0.8403104028038696,8.024999999999999,332.76183696010503,1.1515705622207557,0.923610232345101,10.7,337.9028325900416,1.169163409462845,1.0056329379035898
2094,2.675,321.7843287862273,1.1106523689330783,0.7441418340058452,5.35,326.97658450356516,1.1291668178284804,0.8297794260562871,8.024999999999999,332.16884022090295,1.147466217007511,0.914067783772084,10.7,337.3610959382408,1.1655559545306862,0.997048763371269
2095,2.675,321.10272221050275,1.105487445741789,0.7327973947584486,5.35,326.34521281349384,1.12451924898684,0.8194389181861609,8.024999999999999,331.5877034164849,1.143326957340222,0.9046996420102897,10.7,336.830194019476,1.1619162562404026,0.9886228881195548
2096,2.675,320.4347477662927,1.100283839853211,0.7216564568235977,5.35,325.726468557224,1.1198358331955067,0.8092857928193217,8.024999999999999,331.0181893481552,1.1391545222553425,0.8955029202511401,10.7,336.30991013908647,1.1582458988316768,0.9803526356203042
2097,2.675,319.78013281096685,1.095043561853866,0.710715782566421,5.35,325.1200991860795,1.1151184235177132,0.7993170006799217,8.024999999999999,330.4600655611921,1.1349506102924627,0.8864747686930848,10.7,335.8000319363047,1.1545464292949765,0.9722353656993749
2098,2.675,319.1386101547475,1.0897685762713332,0.6999721711073613,5.35,324.52585720235794,1.1103688300632157,0.7895295296171612,8.024999999999999,329.9131042499682,1.1307168801987153,0.8776123744651827,10.7,335.30035129757863,1.1508193580374826,0.9642684743728883
2099,2.675,318.50991795165254,1.0844608023338267,0.6894224584421709,5.35,323.9435000583108,1.1055888207188906,0.7799204046112083,8.024999999999999,329.37708216496884,1.1264549516253806,0.868912961533799,10.7,334.81066427162705,1.147066159540922,0.9564493936704249
